lens,page_loc,domain_loc,macros,lens_actions,inline,routes,domain_file,classification
goals,1240,540,0,3,12,0,server/domains/goals.js,DEEP
goddess,125,0,0,0,2,0,,THIN
government,3579,313,0,10,0,0,server/domains/government.js,DEEP
graph,2026,591,0,4,3,0,server/domains/graph.js,DEEP
grounding,650,499,0,3,11,0,server/domains/grounding.js,DEEP
healthcare,4020,721,0,18,0,0,server/domains/healthcare.js,DEEP
history,657,182,0,7,11,0,server/domains/history.js,DEEP
home-improvement,730,36,0,4,0,0,server/domains/homeimprovement.js,MODERATE
household,1878,527,0,8,0,0,server/domains/household.js,DEEP
hr,444,108,0,5,0,0,server/domains/hr.js,THIN
hvac,744,56,0,4,0,0,server/domains/hvac.js,MODERATE
hypothesis,691,380,0,4,20,0,server/domains/hypothesis.js,DEEP
import,1034,0,0,0,2,0,,THIN
inference,815,513,0,3,6,3,server/domains/inference.js,DEEP
ingest,815,70,0,4,14,0,server/domains/ingest.js,DEEP
inheritance,129,0,0,0,3,0,,THIN
insurance,1348,321,0,13,3,0,server/domains/insurance.js,DEEP
integrations,781,359,0,3,0,0,server/domains/integrations.js,MODERATE
invariant,730,480,0,3,0,0,server/domains/invariant.js,MODERATE
kingdoms,452,165,12,0,0,3,server/domains/kingdoms.js,DEEP
lab,520,508,0,4,0,0,server/domains/lab.js,DEEP
landscaping,739,147,0,6,0,0,server/domains/landscaping.js,MODERATE
lattice,387,0,0,0,4,3,,THIN
law-enforcement,405,34,0,4,0,0,server/domains/lawenforcement.js,THIN
law,811,565,0,6,0,0,server/domains/law.js,DEEP
legacy,544,320,0,3,0,0,server/domains/legacy.js,THIN
legal,3414,322,0,12,1,6,server/domains/legal.js,DEEP
linguistics,701,140,0,6,0,0,server/domains/linguistics.js,MODERATE
lock,847,375,0,3,0,0,server/domains/lock.js,MODERATE
logistics,2787,718,0,11,0,0,server/domains/logistics.js,DEEP
maker,327,0,0,0,0,0,,SCAFFOLD
manufacturing,2745,158,0,7,0,0,server/domains/manufacturing.js,DEEP
market,689,483,0,5,4,3,server/domains/market.js,MODERATE
marketing,537,41,0,4,0,0,server/domains/marketing.js,THIN
marketplace,2926,76,0,4,11,3,server/domains/marketplace.js,DEEP
markets,220,435,0,8,0,0,server/domains/markets.js,THIN
masonry,735,41,0,4,0,0,server/domains/masonry.js,MODERATE
materials,388,423,0,7,1,0,server/domains/materials.js,THIN
math,1181,468,0,4,0,0,server/domains/math.js,MODERATE
meditation,545,118,0,4,0,0,server/domains/meditation.js,THIN
mental-health,705,105,0,6,0,0,server/domains/mentalhealth.js,MODERATE
mentorship,639,7,0,4,0,0,server/domains/mentorship.js,MODERATE
mesh,284,0,0,0,10,3,,THIN
message,402,237,0,10,0,0,server/domains/message.js,THIN
meta,1234,408,0,3,0,0,server/domains/meta.js,MODERATE
metacognition,1481,445,0,3,12,0,server/domains/metacognition.js,DEEP
metalearning,644,433,0,3,8,0,server/domains/metalearning.js,DEEP
mining,393,98,0,6,0,0,server/domains/mining.js,THIN
ml,1447,124,0,4,0,0,server/domains/ml.js,MODERATE
music,2357,218,0,7,0,0,server/domains/music.js,DEEP
neuro,408,344,0,3,0,0,server/domains/neuro.js,THIN
news,1047,602,0,5,0,0,server/domains/news.js,DEEP
nonprofit,1985,167,0,6,0,0,server/domains/nonprofit.js,DEEP
observe,134,100,0,4,0,0,server/domains/observe.js,THIN
ocean,564,157,0,7,0,0,server/domains/ocean.js,THIN
offline,534,480,0,3,0,0,server/domains/offline.js,THIN
ops,295,100,0,4,0,0,server/domains/ops.js,THIN
organ,731,450,0,3,0,0,server/domains/organ.js,MODERATE
paper,2080,182,0,6,3,0,server/domains/paper.js,DEEP
parenting,398,348,0,5,0,0,server/domains/parenting.js,THIN
personas,180,0,0,0,0,0,,SCAFFOLD
pets,466,489,0,8,0,0,server/domains/pets.js,THIN
pharmacy,671,183,0,6,0,0,server/domains/pharmacy.js,MODERATE
philosophy,580,7,0,4,0,0,server/domains/philosophy.js,THIN
photography,976,72,0,6,0,0,server/domains/photography.js,MODERATE
physics,1763,593,0,8,0,0,server/domains/physics.js,DEEP
platform,576,433,0,4,0,0,server/domains/platform.js,THIN
plumbing,783,7,0,4,0,0,server/domains/plumbing.js,MODERATE
podcast,942,93,0,6,0,0,server/domains/podcast.js,MODERATE
poetry,696,71,0,6,0,0,server/domains/poetry.js,MODERATE
privacy,855,7,0,4,0,0,server/domains/privacy.js,MODERATE
productivity,322,119,0,4,0,0,server/domains/productivity.js,THIN
projects,523,7,0,4,0,0,server/domains/projects.js,THIN
psyops,140,0,0,0,3,0,,THIN
quantum,510,316,0,3,0,0,server/domains/quantum.js,THIN
questmarket,835,276,0,5,0,0,server/domains/questmarket.js,MODERATE
queue,645,439,0,3,0,0,server/domains/queue.js,MODERATE
realestate,3398,391,0,12,0,0,server/domains/realestate.js,DEEP
reasoning,2567,92,0,4,7,3,server/domains/reasoning.js,DEEP
reflection,607,545,0,3,5,0,server/domains/reflection.js,DEEP
repos,680,606,0,6,0,0,server/domains/repos.js,DEEP
research,921,536,0,14,13,0,server/domains/research.js,DEEP
resonance,1495,465,0,3,3,0,server/domains/resonance.js,MODERATE
retail,2043,679,0,15,0,0,server/domains/retail.js,DEEP
robotics,617,7,0,4,0,0,server/domains/robotics.js,MODERATE
root,349,0,0,0,0,0,,SCAFFOLD
sandbox,310,0,0,0,3,0,,THIN
saved,63,0,0,0,0,0,,SCAFFOLD
schema,497,468,0,3,5,0,server/domains/schema.js,THIN
science,2217,524,0,14,0,0,server/domains/science.js,DEEP
security,1297,243,0,7,0,0,server/domains/security.js,MODERATE
self,377,0,0,0,0,0,,SCAFFOLD
sentinel,295,0,0,0,0,0,,SCAFFOLD
services,1177,236,0,7,0,0,server/domains/services.js,MODERATE
sessions,267,337,6,0,0,0,server/domains/sessions.js,THIN
